,mins,mintimes,sensornamemin
30,-5.430055000000001,2020-03-09 15:49:08.383000-04:00,Kilkenny Creek environmental sensors
31,-5.984544,2020-03-10 04:04:16.517000-04:00,Kilkenny Creek environmental sensors
32,-5.715502000000001,2020-03-10 16:34:35.920000-04:00,Kilkenny Creek environmental sensors
33,-6.164999,2020-03-11 05:04:50.281000-04:00,Kilkenny Creek environmental sensors
34,-5.794246000000001,2020-03-11 17:25:06.175000-04:00,Kilkenny Creek environmental sensors
35,-5.8598659999999985,2020-03-12 05:55:20.488000-04:00,Kilkenny Creek environmental sensors
36,-5.722064,2020-03-12 18:11:37.048000-04:00,Kilkenny Creek environmental sensors
37,-5.390682999999999,2020-03-13 06:46:53.555000-04:00,Kilkenny Creek environmental sensors
38,-5.548171,2020-03-13 18:52:03.872000-04:00,Kilkenny Creek environmental sensors
39,-5.34803,2020-03-14 07:32:22.266000-04:00,Kilkenny Creek environmental sensors
40,-4.704954000000001,2020-03-14 19:32:29.071000-04:00,Kilkenny Creek environmental sensors
41,-4.045472999999999,2020-03-15 08:22:51.923000-04:00,Kilkenny Creek environmental sensors
42,-3.9240759999999995,2020-03-15 20:02:48.272000-04:00,Kilkenny Creek environmental sensors
43,-2.404973,2020-03-16 09:13:17.512000-04:00,Kilkenny Creek environmental sensors
44,-2.8479080000000003,2020-03-16 21:28:26.890000-04:00,Kilkenny Creek environmental sensors
45,-3.2055369999999996,2020-03-17 10:29:00.063000-04:00,Kilkenny Creek environmental sensors
46,-2.864312999999999,2020-03-17 22:18:58.845000-04:00,Kilkenny Creek environmental sensors
47,-3.3630250000000004,2020-03-18 11:29:32.505000-04:00,Kilkenny Creek environmental sensors
48,-3.0742969999999996,2020-03-18 23:24:30.383000-04:00,Kilkenny Creek environmental sensors
49,-3.687844,2020-03-19 12:14:58.113000-04:00,Kilkenny Creek environmental sensors
50,-3.6714389999999995,2020-03-20 00:30:06.930000-04:00,Kilkenny Creek environmental sensors
51,-4.219366000000001,2020-03-20 13:10:31.244000-04:00,Kilkenny Creek environmental sensors
52,-4.347325000000001,2020-03-21 01:20:35.711000-04:00,Kilkenny Creek environmental sensors
53,-5.131484,2020-03-21 14:00:57.940000-04:00,Kilkenny Creek environmental sensors
54,-4.832913,2020-03-22 01:40:50.227000-04:00,Kilkenny Creek environmental sensors
55,-3.1202309999999986,2020-03-22 14:41:20.572000-04:00,Kilkenny Creek environmental sensors
56,1.151631,2020-03-22 23:50:10.534000-04:00,Kilkenny Creek environmental sensors
57,100.0,2020-02-23 12:00:00-05:00,fake
58,-4.560590000000001,2020-02-24 03:28:13.758000-05:00,Coffee Bluff Marina environmental sensors
59,-4.672144000000001,2020-02-24 16:06:41.163000-05:00,Coffee Bluff Marina environmental sensors
60,-4.2817050000000005,2020-02-25 04:08:34.990000-05:00,Coffee Bluff Marina environmental sensors
61,-4.7869790000000005,2020-02-25 16:53:01.560000-05:00,Coffee Bluff Marina environmental sensors
62,-4.7312020000000015,2020-02-26 04:24:44.272000-05:00,Coffee Bluff Marina environmental sensors
63,-4.888690000000002,2020-02-26 16:57:02.586000-05:00,Coffee Bluff Marina environmental sensors
64,-5.702378000000001,2020-02-27 04:52:52.614000-05:00,Coffee Bluff Marina environmental sensors
65,-5.3217820000000025,2020-02-27 17:31:18.768000-05:00,Coffee Bluff Marina environmental sensors
66,-4.586838,2020-02-28 05:33:13.858000-05:00,Coffee Bluff Marina environmental sensors
67,-4.8624420000000015,2020-02-28 17:59:33.359000-05:00,Coffee Bluff Marina environmental sensors
68,-5.138046000000001,2020-02-29 05:49:18.429000-05:00,Coffee Bluff Marina environmental sensors
69,-5.279129000000003,2020-02-29 18:03:29.146000-05:00,Coffee Bluff Marina environmental sensors
70,-4.2456140000000016,2020-03-01 06:29:37.873000-05:00,Coffee Bluff Marina environmental sensors
71,-4.576995,2020-03-01 18:49:52.723000-05:00,Coffee Bluff Marina environmental sensors
72,-3.632067000000001,2020-03-02 06:57:51.561000-05:00,Coffee Bluff Marina environmental sensors
73,-4.147184000000001,2020-03-02 19:24:09.867000-05:00,Coffee Bluff Marina environmental sensors
74,-3.966729000000001,2020-03-03 08:14:44.523000-05:00,Coffee Bluff Marina environmental sensors
75,-4.360449000000001,2020-03-03 20:23:02.227000-05:00,Coffee Bluff Marina environmental sensors
76,-4.176713000000001,2020-03-04 10:02:04.971000-05:00,Coffee Bluff Marina environmental sensors
77,-3.4877030000000016,2020-03-04 21:57:58.086000-05:00,Coffee Bluff Marina environmental sensors
78,-3.3466200000000015,2020-03-05 10:48:27.496000-05:00,Coffee Bluff Marina environmental sensors
79,-3.7108110000000014,2020-03-05 23:26:47.785000-05:00,Coffee Bluff Marina environmental sensors
80,-4.967434000000001,2020-03-06 12:17:21.785000-05:00,Coffee Bluff Marina environmental sensors
81,-6.539033,2020-03-07 00:19:17.914000-05:00,Coffee Bluff Marina environmental sensors
82,-5.026492000000001,2020-03-07 12:45:34.876000-05:00,Coffee Bluff Marina environmental sensors
83,-6.037040000000001,2020-03-08 01:29:54.246000-05:00,Coffee Bluff Marina environmental sensors
84,-5.1610130000000005,2020-03-08 15:14:24.889000-04:00,Coffee Bluff Marina environmental sensors
85,-5.663006000000003,2020-03-09 03:46:39.643000-04:00,Coffee Bluff Marina environmental sensors
86,-5.348030000000001,2020-03-09 16:12:57.959000-04:00,Coffee Bluff Marina environmental sensors
87,-5.794246000000003,2020-03-10 04:45:12.635000-04:00,Coffee Bluff Marina environmental sensors
88,-5.561294999999999,2020-03-10 17:05:29.479000-04:00,Coffee Bluff Marina environmental sensors
89,-5.889395000000002,2020-03-11 05:43:46.598000-04:00,Coffee Bluff Marina environmental sensors
90,-5.745031000000001,2020-03-11 17:57:55.957000-04:00,Coffee Bluff Marina environmental sensors
91,-5.6925349999999995,2020-03-12 06:36:17.216000-04:00,Coffee Bluff Marina environmental sensors
92,-5.758155000000002,2020-03-12 18:44:24.336000-04:00,Coffee Bluff Marina environmental sensors
93,-5.433336000000001,2020-03-13 07:22:41.884000-04:00,Coffee Bluff Marina environmental sensors
94,-5.866428000000001,2020-03-13 19:24:43.177000-04:00,Coffee Bluff Marina environmental sensors
95,-5.679411000000002,2020-03-14 08:03:00.566000-04:00,Coffee Bluff Marina environmental sensors
96,-5.308657999999999,2020-03-14 19:52:56.015000-04:00,Coffee Bluff Marina environmental sensors
97,-4.583557000000001,2020-03-15 08:49:27.831000-04:00,Coffee Bluff Marina environmental sensors
98,-4.688549000000002,2020-03-15 20:27:12.649000-04:00,Coffee Bluff Marina environmental sensors
99,-3.182570000000002,2020-03-16 09:41:56.344000-04:00,Coffee Bluff Marina environmental sensors
100,-3.628786,2020-03-16 21:43:57.910000-04:00,Coffee Bluff Marina environmental sensors
101,-3.845332000000001,2020-03-17 10:46:38.136000-04:00,Coffee Bluff Marina environmental sensors
102,-3.678001,2020-03-17 22:42:32.173000-04:00,Coffee Bluff Marina environmental sensors
103,-4.10125,2020-03-18 11:45:14.814000-04:00,Coffee Bluff Marina environmental sensors
104,-3.845332000000001,2020-03-18 23:53:15.021000-04:00,Coffee Bluff Marina environmental sensors
105,-4.442474000000001,2020-03-19 12:43:49.333000-04:00,Coffee Bluff Marina environmental sensors
106,-4.5244990000000005,2020-03-20 00:51:49.243000-04:00,Coffee Bluff Marina environmental sensors
107,-4.977277000000001,2020-03-20 13:24:14.305000-04:00,Coffee Bluff Marina environmental sensors
108,-5.170856000000001,2020-03-21 01:38:18.334000-04:00,Coffee Bluff Marina environmental sensors
109,-5.925486000000003,2020-03-21 14:28:51.746000-04:00,Coffee Bluff Marina environmental sensors
110,-5.672848999999999,2020-03-22 02:18:36.245000-04:00,Coffee Bluff Marina environmental sensors
111,-4.022506,2020-03-22 14:57:00.772000-04:00,Coffee Bluff Marina environmental sensors
112,0.6233899999999997,2020-03-22 23:50:53.339000-04:00,Coffee Bluff Marina environmental sensors
113,100.0,2020-02-23 12:00:00-05:00,fake
114,-4.727921,2020-02-24 02:54:44.885000-05:00,Oatland Island Road environmental sensors
115,-4.678706000000002,2020-02-24 15:29:07.009000-05:00,Oatland Island Road environmental sensors
116,-3.8617369999999998,2020-02-25 03:50:52.479000-05:00,Oatland Island Road environmental sensors
117,-5.000244,2020-02-25 16:23:25.785000-05:00,Oatland Island Road environmental sensors
118,-4.675425000000001,2020-02-26 04:02:04.715000-05:00,Oatland Island Road environmental sensors
119,-5.098673999999999,2020-02-26 16:40:44.718000-05:00,Oatland Island Road environmental sensors
120,-5.735188000000001,2020-02-27 04:23:55.455000-05:00,Oatland Island Road environmental sensors
121,-5.177417999999999,2020-02-27 17:08:25.121000-05:00,Oatland Island Road environmental sensors
122,-4.498251,2020-02-28 04:31:34.667000-05:00,Oatland Island Road environmental sensors
123,-4.668863,2020-02-28 17:08:23.466000-05:00,Oatland Island Road environmental sensors
124,-5.147889000000001,2020-02-29 05:21:46.838000-05:00,Oatland Island Road environmental sensors
125,-4.905095000000001,2020-02-29 18:05:44.789000-05:00,Oatland Island Road environmental sensors
126,-4.045472999999999,2020-03-01 06:14:06.883000-05:00,Oatland Island Road environmental sensors
127,-4.376854,2020-03-01 18:32:51.643000-05:00,Oatland Island Road environmental sensors
128,-3.3925540000000005,2020-03-02 06:41:40.858000-05:00,Oatland Island Road environmental sensors
129,-3.828927,2020-03-02 19:27:47.589000-05:00,Oatland Island Road environmental sensors
130,-3.6944060000000007,2020-03-03 08:26:10.448000-05:00,Oatland Island Road environmental sensors
131,-4.13406,2020-03-03 20:15:03.460000-05:00,Oatland Island Road environmental sensors
132,-3.8978279999999987,2020-03-04 09:39:14.690000-05:00,Oatland Island Road environmental sensors
133,-3.2317850000000004,2020-03-04 22:26:05.407000-05:00,Oatland Island Road environmental sensors
134,-1.3484909999999992,2020-03-05 12:15:41.521000-05:00,Oatland Island Road environmental sensors
135,-3.5795709999999996,2020-03-05 22:42:04.964000-05:00,Oatland Island Road environmental sensors
136,-5.026492000000001,2020-03-06 11:51:15.404000-05:00,Oatland Island Road environmental sensors
137,-6.624339000000001,2020-03-06 23:55:02.612000-05:00,Oatland Island Road environmental sensors
138,-4.990401,2020-03-07 12:38:11.543000-05:00,Oatland Island Road environmental sensors
139,-6.3881070000000015,2020-03-08 01:14:49.836000-05:00,Oatland Island Road environmental sensors
140,-5.531766000000001,2020-03-08 14:36:52.325000-04:00,Oatland Island Road environmental sensors
141,-6.325768,2020-03-09 03:09:53.113000-04:00,Oatland Island Road environmental sensors
142,-6.220776000000001,2020-03-09 15:29:10.240000-04:00,Oatland Island Road environmental sensors
143,-6.6669920000000005,2020-03-10 04:14:19.724000-04:00,Oatland Island Road environmental sensors
144,-6.463570000000001,2020-03-10 16:35:18.657000-04:00,Oatland Island Road environmental sensors
145,-6.857290000000001,2020-03-11 05:08:30.933000-04:00,Oatland Island Road environmental sensors
146,-6.611215,2020-03-11 17:17:17.578000-04:00,Oatland Island Road environmental sensors
147,-6.614496000000001,2020-03-12 05:50:37.333000-04:00,Oatland Island Road environmental sensors
148,-6.457008,2020-03-12 18:04:29.840000-04:00,Oatland Island Road environmental sensors
149,-6.122346,2020-03-13 06:58:16.206000-04:00,Oatland Island Road environmental sensors
150,-6.151875,2020-03-13 18:46:35.183000-04:00,Oatland Island Road environmental sensors
151,-5.958296000000001,2020-03-14 07:35:26.359000-04:00,Oatland Island Road environmental sensors
152,-5.308657999999999,2020-03-14 19:18:32.208000-04:00,Oatland Island Road environmental sensors
153,-4.724639999999999,2020-03-15 08:12:34.238000-04:00,Oatland Island Road environmental sensors
154,-4.485127,2020-03-15 19:49:35.105000-04:00,Oatland Island Road environmental sensors
155,-3.1661649999999995,2020-03-16 09:13:05.401000-04:00,Oatland Island Road environmental sensors
156,-3.4942650000000004,2020-03-16 21:01:04.740000-04:00,Oatland Island Road environmental sensors
157,-3.9798529999999985,2020-03-17 10:15:26.095000-04:00,Oatland Island Road environmental sensors
158,-3.4319260000000007,2020-03-17 21:55:16.826000-04:00,Oatland Island Road environmental sensors
159,-3.87158,2020-03-18 11:33:46.558000-04:00,Oatland Island Road environmental sensors
160,-3.602538000000001,2020-03-18 23:26:53.676000-04:00,Oatland Island Road environmental sensors
161,-4.350605999999999,2020-03-19 12:00:45.571000-04:00,Oatland Island Road environmental sensors
162,-4.337482000000001,2020-03-20 00:29:15.806000-04:00,Oatland Island Road environmental sensors
163,-4.7312020000000015,2020-03-20 13:02:00.678000-04:00,Oatland Island Road environmental sensors
164,-4.846036999999999,2020-03-21 01:15:54.225000-04:00,Oatland Island Road environmental sensors
165,-5.663006000000001,2020-03-21 13:53:17.033000-04:00,Oatland Island Road environmental sensors
166,-5.400526000000001,2020-03-22 01:39:05.409000-04:00,Oatland Island Road environmental sensors
167,-3.7009679999999996,2020-03-22 14:25:16.460000-04:00,Oatland Island Road environmental sensors
168,0.45277800000000035,2020-03-22 23:51:04.575000-04:00,Oatland Island Road environmental sensors
169,100.0,2020-02-23 12:00:00-05:00,fake
170,-3.435207,2020-02-24 04:39:56.290000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
171,-3.422082999999999,2020-02-24 17:18:25.154000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
172,-2.9135279999999995,2020-02-25 05:17:20.063000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
173,-3.3367769999999997,2020-02-25 18:01:08.582000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
174,-3.6944060000000007,2020-02-26 05:28:26.352000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
175,-3.799398,2020-02-26 18:03:04.168000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
176,-4.675425000000001,2020-02-27 05:48:21.130000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
177,-4.10125,2020-02-27 17:42:59.020000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
178,-3.697687,2020-02-28 06:12:11.466000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
179,-3.819084,2020-02-28 18:36:19.554000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
180,-4.216085000000001,2020-02-29 06:39:35.058000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
181,-4.1471839999999975,2020-02-29 18:35:27.689000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
182,-3.2777189999999994,2020-03-01 07:01:09.724000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
183,-3.6156620000000004,2020-03-01 19:18:32.948000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
184,-2.7068250000000003,2020-03-02 07:46:48.386000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
185,-3.1038259999999998,2020-03-02 19:55:47.542000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
186,-2.9889909999999986,2020-03-03 08:36:51.306000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
187,-3.323653,2020-03-03 21:14:12.764000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
188,-3.133355,2020-03-04 10:24:22.949000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
189,2.7921310000000004,2020-03-04 17:32:27.113000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
190,,,Hwy 17 at Salt Creek Sea Level Sensor
191,,,Hwy 17 at Salt Creek Sea Level Sensor
192,-2.2310800000000004,2020-03-06 13:51:53.411000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
193,-4.052035,2020-03-07 01:22:12.249000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
194,-3.077577999999999,2020-03-07 14:15:59.562000-05:00,Hwy 17 at Salt Creek Sea Level Sensor
195,-4.1767129999999995,2020-03-08 03:44:25.745000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
196,-2.687139,2020-03-08 16:52:55.509000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
197,-2.293419,2020-03-09 04:20:53.104000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
198,-2.7658830000000005,2020-03-09 17:46:07.455000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
199,-2.601832999999999,2020-03-10 06:27:52.176000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
200,-3.0808589999999985,2020-03-10 18:23:48.475000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
201,-3.828927,2020-03-11 07:05:47.244000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
202,-3.8847039999999993,2020-03-11 19:12:22.895000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
203,-3.6714389999999995,2020-03-12 07:59:08.889000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
204,-4.068439999999999,2020-03-12 20:01:45.579000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
205,-3.520513000000001,2020-03-13 08:45:10.271000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
206,-4.252175999999999,2020-03-13 20:10:52.891000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
207,-4.458879000000001,2020-03-14 09:17:16.759000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
208,-4.321077000000001,2020-03-14 20:55:27.105000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
209,-3.435207,2020-03-15 10:00:05.130000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
210,-3.828927,2020-03-15 21:22:50.908000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
211,-1.9981290000000005,2020-03-16 11:08:10.027000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
212,-2.6904199999999996,2020-03-16 22:46:00.356000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
213,-2.818379,2020-03-17 11:55:08.127000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
214,-2.7626019999999993,2020-03-17 22:58:03.510000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
215,-3.028362999999999,2020-03-18 12:23:32.341000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
216,-2.900404,2020-03-19 00:17:45.185000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
217,-3.4647359999999985,2020-03-19 13:34:58.805000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
218,-3.5894139999999997,2020-03-20 01:26:26.113000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
219,-4.035630000000001,2020-03-20 14:11:14.218000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
220,-3.9732909999999997,2020-03-21 02:42:19.412000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
221,-4.924780999999999,2020-03-21 15:09:54.878000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
222,-4.783698000000001,2020-03-22 02:55:38.167000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
223,-3.136636000000001,2020-03-22 15:45:47.600000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
224,3.976572,2020-03-22 23:43:40.077000-04:00,Hwy 17 at Salt Creek Sea Level Sensor
225,100.0,2020-02-23 12:00:00-05:00,fake
226,-4.603243000000001,2020-02-24 02:29:02.913000-05:00,Catalina Drive Sea Level Sensor
227,-4.79026,2020-02-24 15:15:37.137000-05:00,Catalina Drive Sea Level Sensor
228,-4.245614,2020-02-25 03:21:50.039000-05:00,Catalina Drive Sea Level Sensor
229,-4.875566000000001,2020-02-25 15:58:17.868000-05:00,Catalina Drive Sea Level Sensor
230,-4.714796999999999,2020-02-26 03:44:14.614000-05:00,Catalina Drive Sea Level Sensor
231,-5.026491999999999,2020-02-26 16:10:29.283000-05:00,Catalina Drive Sea Level Sensor
232,-5.502236999999999,2020-02-27 04:21:28.826000-05:00,Catalina Drive Sea Level Sensor
233,-5.0757069999999995,2020-02-27 16:27:45.695000-05:00,Catalina Drive Sea Level Sensor
234,-4.537623,2020-02-28 04:38:49.757000-05:00,Catalina Drive Sea Level Sensor
235,-4.678706,2020-02-28 17:15:10.383000-05:00,Catalina Drive Sea Level Sensor
236,-5.118359999999999,2020-02-29 05:16:08.326000-05:00,Catalina Drive Sea Level Sensor
237,-5.016648999999999,2020-02-29 17:37:27.915000-05:00,Catalina Drive Sea Level Sensor
238,-4.055316000000001,2020-03-01 05:56:28.404000-05:00,Catalina Drive Sea Level Sensor
239,-4.337482,2020-03-01 18:02:44.717000-05:00,Catalina Drive Sea Level Sensor
240,-3.556604,2020-03-02 06:59:26.751000-05:00,Catalina Drive Sea Level Sensor
241,-3.9896960000000004,2020-03-02 19:05:38.810000-05:00,Catalina Drive Sea Level Sensor
242,-3.828927,2020-03-03 08:17:21.920000-05:00,Catalina Drive Sea Level Sensor
243,-4.1963989999999995,2020-03-03 19:58:15.709000-05:00,Catalina Drive Sea Level Sensor
244,-4.091407,2020-03-04 09:19:56.830000-05:00,Catalina Drive Sea Level Sensor
245,-3.497546,2020-03-04 21:25:58.100000-05:00,Catalina Drive Sea Level Sensor
246,-3.277719000000001,2020-03-05 09:47:10.449000-05:00,Catalina Drive Sea Level Sensor
247,-3.7403399999999998,2020-03-05 22:33:11.658000-05:00,Catalina Drive Sea Level Sensor
248,-4.809946,2020-03-06 11:32:33.393000-05:00,Catalina Drive Sea Level Sensor
249,-6.512785000000001,2020-03-06 23:56:22.136000-05:00,Catalina Drive Sea Level Sensor
250,-4.996962999999999,2020-03-07 12:12:38.719000-05:00,Catalina Drive Sea Level Sensor
251,-6.2535859999999985,2020-03-08 01:09:13.104000-05:00,Catalina Drive Sea Level Sensor
252,-5.584262000000001,2020-03-08 14:25:44.774000-04:00,Catalina Drive Sea Level Sensor
253,-6.2437429999999985,2020-03-09 03:07:08.798000-04:00,Catalina Drive Sea Level Sensor
254,-6.096098,2020-03-09 15:38:37.812000-04:00,Catalina Drive Sea Level Sensor
255,-6.529190000000002,2020-03-10 04:14:54.176000-04:00,Catalina Drive Sea Level Sensor
256,-6.394669,2020-03-10 16:26:07.179000-04:00,Catalina Drive Sea Level Sensor
257,-6.709645,2020-03-11 05:07:25.629000-04:00,Catalina Drive Sea Level Sensor
258,-6.470132000000001,2020-03-11 17:13:30.013000-04:00,Catalina Drive Sea Level Sensor
259,-6.460289000000001,2020-03-12 05:55:00.691000-04:00,Catalina Drive Sea Level Sensor
260,-6.358578,2020-03-12 18:01:09.758000-04:00,Catalina Drive Sea Level Sensor
261,-5.968139000000001,2020-03-13 06:32:25.194000-04:00,Catalina Drive Sea Level Sensor
262,-6.1223459999999985,2020-03-13 18:48:36.979000-04:00,Catalina Drive Sea Level Sensor
263,-5.925485999999999,2020-03-14 07:19:48.789000-04:00,Catalina Drive Sea Level Sensor
264,-5.2824100000000005,2020-03-14 19:10:44.379000-04:00,Catalina Drive Sea Level Sensor
265,-4.695111000000001,2020-03-15 07:57:05.812000-04:00,Catalina Drive Sea Level Sensor
266,-4.606524,2020-03-15 19:42:56.526000-04:00,Catalina Drive Sea Level Sensor
267,-3.277719000000001,2020-03-16 09:04:36.745000-04:00,Catalina Drive Sea Level Sensor
268,-3.592695000000001,2020-03-16 20:50:22.685000-04:00,Catalina Drive Sea Level Sensor
269,-3.855174999999999,2020-03-17 09:57:00.245000-04:00,Catalina Drive Sea Level Sensor
270,-3.658315,2020-03-17 22:23:11.981000-04:00,Catalina Drive Sea Level Sensor
271,-3.947042999999999,2020-03-18 10:49:24.694000-04:00,Catalina Drive Sea Level Sensor
272,-3.7403399999999998,2020-03-18 23:20:40.228000-04:00,Catalina Drive Sea Level Sensor
273,-4.330919999999999,2020-03-19 11:51:57.385000-04:00,Catalina Drive Sea Level Sensor
274,-4.367011,2020-03-20 00:13:05.217000-04:00,Catalina Drive Sea Level Sensor
275,-4.793540999999999,2020-03-20 12:54:26.630000-04:00,Catalina Drive Sea Level Sensor
276,-4.928061999999999,2020-03-21 00:55:15.786000-04:00,Catalina Drive Sea Level Sensor
277,-5.620353,2020-03-21 13:51:43.660000-04:00,Catalina Drive Sea Level Sensor
278,-5.443178999999999,2020-03-22 01:52:45.789000-04:00,Catalina Drive Sea Level Sensor
279,-3.9273570000000007,2020-03-22 14:08:48.265000-04:00,Catalina Drive Sea Level Sensor
280,-0.7316629999999993,2020-03-22 23:53:33.974000-04:00,Catalina Drive Sea Level Sensor
281,100.0,2020-02-23 12:00:00-05:00,fake
282,-3.3927902319999994,2020-02-24 02:05:43.463000-05:00,Fort Pulaski (A) Sea Level Sensor
283,-3.5141872319999994,2020-02-24 15:16:19.554000-05:00,Fort Pulaski (A) Sea Level Sensor
284,-3.0384422320000013,2020-02-25 03:10:21.171000-05:00,Fort Pulaski (A) Sea Level Sensor
285,-3.756981232000003,2020-02-25 15:24:48.352000-05:00,Fort Pulaski (A) Sea Level Sensor
286,-3.4616912319999997,2020-02-26 03:34:09.768000-05:00,Fort Pulaski (A) Sea Level Sensor
287,-3.858692232000001,2020-02-26 16:03:57.233000-05:00,Fort Pulaski (A) Sea Level Sensor
288,-4.209759232000003,2020-02-27 03:52:53.092000-05:00,Fort Pulaski (A) Sea Level Sensor
289,-3.861973232000002,2020-02-27 16:27:45.137000-05:00,Fort Pulaski (A) Sea Level Sensor
290,-3.2713932319999994,2020-02-28 04:47:16.054000-05:00,Fort Pulaski (A) Sea Level Sensor
